Military expenditure (% of GDP),1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,
New Zealand,1.908310818,1.856829217,1.791377762,1.73836058,1.593327389,1.459061411,1.40079663,1.391934043,1.36733668,1.306699138,1.302588098,1.24434444,1.213668308,1.134393451,1.06550806,1.035978282,1.001723253,0.988335523,1.023342405,1.010095468,1.056256433,1.112874197
Nicaragua,,,10.28980146,4.002382041,2.632753235,2.102423369,1.189503382,1.102820307,0.949704913,0.894669832,0.735362192,0.719492825,0.78074952,0.705281269,0.801724474,0.866709168,0.740630393,0.696724669,0.663417104,0.691716369,0.711692818,0.671050651
Niger,,,,,,,1.117640283,0.979974447,0.875252887,0.937598619,1.061072958,1.166908052,1.116838488,1.276297335,0.951877314,0.900787402,1.03546627,0.96319804,,,,
Nigeria,0.846856647,0.559172158,0.855212422,0.736021758,0.484455963,0.659788272,0.56841605,0.707879764,0.54356833,0.609596173,0.88953906,1.413823708,0.801686051,1.188822833,1.517184604,0.868306853,0.728541184,0.600638306,0.533699943,0.585412432,0.780006517,0.869627012
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,
Norway,2.893085426,2.910157092,2.886211215,2.747487196,2.964703994,2.687349845,2.733137082,2.355642189,2.208445588,2.055978734,2.199919324,2.080656162,1.73651688,1.735260953,2.118439712,2.006806264,1.890087497,1.617450851,1.48834978,1.516063298,1.301594691,1.46271544
Oman,18.26639789,16.67776668,16.5149458,14.74500091,16.24929509,15.36347738,15.68256396,14.62192156,12.5461757,12.48049921,12.48193727,11.37313281,10.59011413,12.16348346,12.42703334,12.19364964,12.05860651,11.81519818,10.95328952,10.32021844,7.655811947,8.713552535
Pakistan,7.001150642,6.62050396,6.850339169,6.903250046,6.771135841,6.722823979,6.286832908,6.006949915,5.827307489,5.427762166,5.221619207,5.000376058,4.019616786,4.032425681,4.231745831,4.246922665,4.109506469,4.0401355,3.760229457,3.559895662,3.352111078,3.0256679
Palau,,,,,,,,,,,,,,,,,,,,,,
Panama,2.113037235,2.086956522,1.375818716,1.34536056,1.186496823,1.312614612,1.305938789,1.221841363,1.083446863,1.170170567,0.951292019,0.97762803,,,,,,,,,,
Papua New Guinea,1.264944336,1.497192764,2.132501138,1.389505214,1.337911437,1.117708697,0.981863552,0.968569907,1.00078002,1.307983502,1.102055462,0.906186992,0.873066415,0.822407972,0.568830166,0.54745048,0.622029922,0.61994436,0.546928976,0.595808065,0.439245423,0.500367242
Paraguay,,1.19781275,1.186210305,1.581953652,1.530475068,1.092422259,1.195102416,1.288432866,1.134247032,1.366280206,1.269658176,1.15192192,1.123583584,1.020189701,0.998556186,0.824322744,0.876646185,0.751581518,0.82456321,0.773837128,0.783736799,0.884940533
Peru,,0.241784995,0.082675984,1.154180013,1.775169332,1.944795837,1.751922073,1.865577269,1.769758646,1.411768912,1.606303252,1.589826332,1.954431773,1.684347604,1.493614617,1.448753378,1.427900479,1.459947736,1.327024676,1.164896371,1.073955481,1.151402955
Philippines,1.546080868,1.410242003,1.350120726,1.264251677,1.280447246,1.356567197,1.365973353,1.442481995,1.426294314,1.203753343,1.182412403,1.107156594,1.079312862,0.990699644,0.981540272,1.029560956,0.900061869,0.874975417,0.854345867,0.935352118,0.836305856,0.846369301
Poland,2.497578362,1.817126118,2.613021239,2.335475099,2.367239699,2.649890803,2.370736132,2.028338017,2.04125692,2.027153416,2.019131575,1.921032651,1.848926218,1.906707315,1.904700892,1.927163674,1.924529624,1.934603428,1.882868753,1.934842348,2.01093965,2.024695487
Portugal,2.427644753,2.438999988,2.41632428,2.405990255,2.387689488,2.340610378,2.212602756,2.294147815,2.149606604,2.068703946,1.90546946,1.908422742,1.8841407,1.936830114,1.972998815,1.926379442,2.013070174,2.112815776,2.022794814,1.89051601,1.910771341,1.972767811
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,
Qatar,,,,,,,,,,,,,,,4.715963907,4.0017277,2.926330032,2.490010596,2.09347526,2.174305029,,
Romania,4.317386231,4.75,4.54598438,4.764281501,4.262588735,2.745086252,3.114125714,2.772559943,2.478892615,3.044372245,2.977542629,2.684476731,2.526832343,2.452712019,2.304669315,2.101082686,2.027018957,1.997571131,1.835703919,1.54035684,1.499725176,1.416725544
Russia,,23.38568971,19.09344924,,5.518148343,5.26908052,5.876381498,4.425621281,4.108227911,4.483842049,3.254259203,3.413874606,3.709811651,4.085312402,4.344632391,4.303891114,3.850482475,3.728717002,3.592977541,3.439956523,3.495173295,4.32908373
Rwanda,1.528968515,1.730648588,3.730423964,5.510231235,4.365168499,4.536391426,3.437876928,4.363953945,5.328580206,4.173383453,4.377917106,4.18669564,3.534986051,3.396812701,3.109530673,2.448116059,1.973087879,1.743264421,1.753586467,1.485677126,1.442326434,1.442779691
Samoa,,,,,,,,,,,,,,,,,,,,,,
San Marino,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,15.15192833,13.39027912,14.02429213,12.46978293,11.28415828,12.46537231,10.6447607,9.27846839,8.468077873,11.00093575,14.31103749,11.38191745,10.59439031,11.48921154,9.812648777,8.737112377,8.352835782,8.046105318,8.294442643,9.214236794,8.024889385,10.98356142
Senegal,1.995529545,1.945309366,2.010998156,1.888605776,1.82806074,2.112023039,1.706046295,1.658546303,1.574762916,1.515255096,1.492758332,1.521856593,1.33262593,1.412401688,1.394137466,1.41232444,1.339402502,1.431962065,1.585505629,1.703298523,1.636420501,
Serbia,,,,,,,,,,4.2765401,3.962699804,4.182395229,5.541544668,4.337567163,4.491208609,3.713062115,3.117493245,2.49458964,2.412856321,2.466842358,2.324918264,2.213185292
Seychelles,4.280104712,4.227455485,4.026231508,4.424018989,4.7271745,2.732529728,2.443685452,2.280803239,2.095832333,2.025021204,1.733670696,1.781690352,1.679332821,1.777826552,1.676956886,1.734316375,2.275974954,1.666323802,1.484462748,1.483204886,0.923937871,0.791194001
Sierra Leone,0.670456213,1.033976086,1.391458134,2.080159051,2.968413676,3.035498185,2.9056912,2.873765975,1.974345844,1.116234593,,,3.665965581,3.712607856,2.899515042,2.872367256,2.094973084,1.900289314,1.986911886,1.771840643,2.283322141,
Singapore,4.744126041,4.6836693,4.89083231,4.686934249,4.690992159,4.267228536,3.958057375,4.357579309,4.430583439,4.649365612,5.420476712,5.439184122,4.670920921,5.030950674,5.126292163,5.068295747,4.599034338,4.356115039,4.018932016,3.687604634,3.876986384,4.257937605
Slovak Republic,,,,,,1.967609344,1.90818849,3.216150149,3.03512001,2.335215341,1.777927319,1.598577586,1.678875699,1.866771584,1.799877054,1.877654312,1.688521797,1.72077957,1.631376493,1.517537715,1.487629468,1.502749637
Slovenia,,,,,2.248191287,1.820141578,1.655368052,1.612550072,1.567479737,1.436138375,1.396205624,1.237593229,1.120089562,1.331444368,1.418166366,1.433461241,1.462690693,1.43654194,1.561976945,1.463771414,1.524150378,1.753888215
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,
Somalia,2.789010353,0.750697103,,,,,,,,,,,,,,,,,,,,
South Africa,4.254507184,4.010314845,3.922833985,3.336044204,2.753442022,2.535828039,2.652036795,2.255427784,2.044326867,1.720064818,1.568106664,1.395260837,1.553112929,1.668714001,1.706535643,1.738967118,1.599196763,1.610737059,1.497548407,1.381536482,1.336355751,1.442669714
Spain,1.963645229,1.937002864,1.737767567,1.626723867,1.479613018,1.62580591,1.441369709,1.449670733,1.384389739,1.339495675,1.252286869,1.222880909,1.20568715,1.171185201,1.153857758,1.096778891,1.085795953,1.046223998,1.168971557,1.160696475,1.203948178,1.255671164
Sri Lanka,2.371363444,1.798793923,2.328580663,3.082087849,3.367639901,3.431785654,3.729338058,5.861132243,5.519783161,4.630602074,4.643482327,4.030149263,5.033890174,4.286990589,3.34258944,2.868911827,2.997358479,2.639533395,2.798773599,3.260608357,3.561149146,3.53651801
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,
Saint Lucia,,,,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,
Sudan,2.62846629,,2.57620439,2.245808579,1.897441833,2.120338422,1.290079477,1.406575011,1.179076088,0.83665955,2.310689609,4.02186929,4.749052018,2.904391484,3.235924131,2.239149295,5.721950418,4.253979041,4.222867241,,,
Suriname,,,,,,,,,,,,,,,,,,,,,,
Swaziland,1.258501265,1.378706594,1.303712584,1.384514458,1.632027804,1.747484926,1.817594761,1.68765985,1.654392608,1.491678221,1.644314182,1.685039154,1.644426561,1.521066826,1.559432751,1.781269407,1.872620088,2.355142231,2.190531096,2.098070353,,
Sweden,2.537546098,2.462349883,2.523740411,2.411875982,2.402685176,2.480316888,2.369372353,2.258651893,2.243900071,2.055160198,2.014840318,1.98936505,1.966146195,1.815647037,1.735164489,1.685864134,1.523023484,1.489144663,1.397530294,1.380766202,1.235663149,1.297103412
Switzerland,1.733973387,1.695605889,1.751756171,1.717609569,1.704015071,1.531606227,1.548508731,1.341278002,1.269536393,1.206799589,1.146579791,1.096033462,1.066902953,1.040154481,1.027268626,1.013636071,0.970581619,0.936611898,0.809712527,0.790634313,0.806511449,0.834139762
Syria,7.313742936,7.423931718,6.395530843,9.708759677,8.372305788,6.740220662,7.221878637,6.949691317,6.041916055,5.882755113,5.808381118,5.810580496,5.339916248,5.256441186,5.213041082,6.089654021,5.558304444,5.079165761,4.384733375,4.086024691,3.425128205,4.163392652
Tajikistan,,,,,,2.828613862,1.679270713,1.002901193,1.296720852,2.064232813,1.716720836,1.390383067,1.203294962,1.154530788,2.09464064,2.248938615,2.172785147,,,,,
Tanzania,,2.382642998,2.04648408,2.181771985,2.10602696,1.379281568,1.294115754,1.627214037,1.555349473,1.543544868,1.436858367,1.325014953,1.325926462,1.451604644,1.302598581,1.07430688,0.994618222,0.986383339,1.028645244,0.987879587,0.936518452,1.016072704
Thailand,2.830099192,2.575670691,2.629760365,2.47702589,2.616681371,2.389437397,2.375913456,2.261734542,2.173478768,2.074373386,1.861752734,1.613278585,1.447732976,1.469036147,1.407613744,1.30171027,1.163391312,1.121108129,1.104507876,1.29592175,1.511047389,1.79140543
Timor-Leste,,,,,,,,,,,,,,,,,1.066925315,2.470505265,5.232354072,5.961247722,7.631765573,11.7562724
Togo,3.125005766,3.094053012,3.116404543,2.86491845,2.901057897,4.065504158,2.584511495,2.35626633,,,,,,,,1.639147028,1.539033755,1.576591784,,,1.966795069,
Tonga,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,,,,,,,0.412804429,0.451145362,,,,,,,,,,,,,,
Tunisia,2.309308824,2.314935505,2.01558845,2.003524874,1.867822382,1.889108641,1.903400827,1.900092659,2.029759314,1.894900039,1.848346904,1.718575204,1.711011636,1.679573534,1.640834386,1.630308206,1.581275867,1.618256488,1.606378926,1.378518345,1.305516752,1.368424403
Turkey,2.940618845,3.167286854,3.536353973,3.761206849,3.86877977,3.920545429,4.058494959,3.903403718,4.142942286,4.102527368,3.260537594,3.984859218,3.748994475,3.681562617,3.892134268,3.391964828,2.784808643,2.501341774,2.539587819,2.174272911,2.21075674,2.762233763
Turkmenistan,,,,,,,1.752293578,2.308742331,2.041758582,3.962246147,3.113969275,2.901874751,,,,,,,,,,
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,
Uganda,3.86776223,3.485539587,3.335642382,2.95054806,2.161179056,1.933966606,2.317744138,2.292613111,2.31345869,2.279438756,2.534817212,2.84361193,2.481440874,2.321654155,2.35776089,2.404725893,2.314531653,2.407419154,2.202476263,2.258791546,2.614493923,2.16809354
Ukraine,,,,,,0.465357825,2.500479667,2.828505582,3.287577065,4.124671887,3.355004612,2.982168264,3.636149821,2.863999216,2.774899252,2.848390089,2.597120363,2.792602593,2.771646945,2.870002817,2.667574771,2.850817737
United Arab Emirates,,,,,,,,,,7.898292462,9.776103482,9.032649557,9.350156414,9.540235354,8.237396151,7.575943881,7.333391054,5.655942773,5.939420215,5.601075692,,
United Kingdom,4.030218804,3.897775256,3.845809887,3.985040022,3.734728652,3.474035304,3.252441965,2.959635385,2.827972973,2.625244852,2.53224313,2.425893424,2.386094479,2.401969803,2.460290601,2.522579592,2.450463691,2.418787648,2.356397482,2.357454024,2.464457136,2.682624195
United States,5.791550576,5.590208839,5.320254396,4.716179836,4.850051657,4.499901728,4.097276154,3.78916473,3.486902452,3.33768979,3.1378332,3.020847221,3.047813876,3.055951299,3.368397197,3.744390939,3.933831684,4.001311637,3.956599331,3.960808716,4.28748495,4.681981727
Uruguay,2.648906766,2.91868264,2.869016434,2.149463996,2.79560658,2.207195552,3.166539703,1.98578425,1.825176734,1.56195959,1.435079659,1.534778039,1.326442131,1.574978235,1.498098823,1.461778364,1.33918909,1.34017712,1.293877558,1.211719074,1.285613989,1.564535896
Uzbekistan,,,,,,,1.527491769,1.108038547,1.234188966,1.402495828,,1.637649977,1.151780934,0.834776605,0.597786003,0.538581877,,,,,,
Vanuatu,,,,,,,,,,,,,,,,,,,,,,
Venezuela,,,,1.901784407,1.698354794,2.216884513,1.643862958,1.600788319,1.074193287,1.79528715,1.589587756,1.437367511,1.526570129,1.554883055,1.153559055,1.183063128,1.288301812,1.411439033,1.6338084,1.311125479,1.390125107,1.282191317
Vietnam,5.136186756,7.28651281,7.910857255,5.59531723,3.374588404,2.258694628,2.649355218,,,,,,,,,2.128641135,2.01437984,1.939679056,2.112051534,2.51242661,2.346606619,2.181633994
Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,
"Yemen, Rep.",,,7.663116831,8.178904094,8.172999075,7.73752573,9.224096299,6.384295433,5.273936344,5.724341088,6.087967752,5.292739725,5.016844455,5.709577246,7.446099693,7.334692596,5.301412019,4.873259308,4.308466774,4.850723487,4.445737508,
Zambia,2.326184987,4.195269296,3.723310452,2.554108067,2.955769654,1.561882149,1.878621566,1.589165052,1.156954089,1.108906318,,1.791994849,,,,,1.890665514,1.958988374,1.941405102,1.304346493,2.079280143,1.6528522
Zimbabwe,4.960669139,4.569078977,4.652461235,3.713330978,3.779948994,3.295590935,,,3.155975427,3.291296758,2.440748447,3.893785285,5.247956922,4.246122471,10.7726137,3.44648954,4.522436409,2.356540767,3.110773028,2.752201208,,
