Births attended by skilled health staff (% of total),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.8,,,,,,99.9,,99.9,,,99.9,99.9,,99.9,99.9,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,99.9,,99.9,99.9,99.9,,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.6,,,92.9,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,95,99.9,99.9,100,100,100,100,99,,94,,
Dominican Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,89.7,,,,,93.1,,,,,95.5,,,96,97.6,,97.8,,,,95.5,97.8,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.3,,,,,,,,,,,,99.1,,,,,74.7,,,,,
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.59999847,,,36.5,40.7,,,46.3,,56.4,55.2,,60.9,,,69.4,,74.2,,,78.9,
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,85.4,,,52,,,,,51,,,,,,,,,,92.4,,,,,,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,64.6,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.6,,,,,,,28.3,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.6,,,99.8,99.8,,,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,,,,,5.7,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,100,,99,,99,,,,,,,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,99.9,99.9,,,,,,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,99,,,,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.5,,,,,,,,,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.1,,,,,,,,,,54.7,,,,,,56.8,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.4,,,,99,,98.3,,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,100,,,
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.20000076,,,,,43.8,,,,,44.3,,,,,47.1,,,49.7,55.2,58.7,
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,99,99,100,,100,100,,100,,98.8,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.4,,,,,,,,
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.2,,,,,,,,34.3,,,,40.6,,,41.4,,,,,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.5,,,,,,,34.8,,,,55.5,,38,,46.1,,
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,34.7,,,,,,38.8,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,,95,94,96,85.6,93.8,,94,,94,83.3,,,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,19.5,,,,,23.8,,,,,,26.1,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.4,,,,54.9,,,,,55.7,,,,,66.9,,,
"Hong Kong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,100,,,,
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.6,,99.6,99.6,99.7,,,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.2,,,,,,42.3,42.5,,,,,,46.6,,,
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.3,,,,31.7,,,36.5,,,43.2,,55.8,,64.24,,66.3,71.5,,,79.4,,
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.1,,,89.6,,,,,97.3,,,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,72.1,,,,,,88.5,79.7,,
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,,,,,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,,,,,,,90,94.6,,,95.9,98.5,96.9,97.4,,96.7,94.5,,,
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,100,,,,,,,,99.8,,,,,
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.2,,,,,,,96.7,,,,,99.5,,,,,99.1,,
