Mobile cellular subscriptions (per 100 people),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Benin,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018346059,0.045832222,0.070577718,0.100318911,0.11260171,0.833056654,1.81708945,3.075668157,3.209709734,6.035189791,7.578741033,12.98843484,22.68919397,39.65557488,
Bermuda,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,1.25,1.838016529,2.360655738,3.173770492,5.573770492,8.363784666,10.24959481,12.91555554,16.60847128,20.29108642,20.63033413,20.92353254,21.34646174,47.80876494,63.45177665,77.38471257,82.93220072,94.20062696,107.8125,123.0529595,
Bhutan,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.366349164,3.020918177,5.539833713,12.3618148,22.10505296,36.54688704,
Bolivia,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004321381,0.022196964,0.037178963,0.055425366,0.096590382,0.436607414,1.51539773,2.998001892,5.158751539,7.004857665,9.187693212,11.81454226,14.47402405,19.98841846,26.37100468,30.74830556,34.1688457,49.82405301,
Bosnia and Herzegovina,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04537669,0.267415033,0.723556192,1.460777647,2.528334314,11.86416758,19.82970048,28.41054626,37.21652118,42.16481006,49.92267594,64.85333778,84.2552808,
Botswana,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.915047011,5.434737662,12.89886993,18.99933612,18.75033507,24.80893389,28.79880495,30.65615399,44.13643917,60.86161361,77.3397525,
Brazil,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000445944,0.004406149,0.02071402,0.116017052,0.360407904,0.795050496,1.521811879,2.730274928,4.355721949,8.756470062,13.31318824,16.27188286,19.47315148,25.54474972,35.68135679,46.3310523,53.10345104,63.63355101,78.47071221,
Brunei,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.689499529,1.144333563,1.509227142,2.970987789,5.43942232,12.16461782,14.37750022,14.49317372,15.43815656,20.25154878,28.48823436,41.94674379,44.11999495,49.89043878,55.80796595,62.93318922,79.85332846,90.65666802,95.84990313,
Bulgaria,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011803588,0.07705987,0.249047619,0.318190522,0.84214903,1.538088894,4.264132554,9.156327543,19.5954488,33.0098869,44.75097789,60.78564452,80.68374677,107.2008645,129.2138635,137.7363497,
Burkina Faso,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005042722,0.014042794,0.024801222,0.044446508,0.216209874,0.632473976,0.892511651,1.852372824,2.979182614,4.608609968,7.146818595,10.94322741,16.75869397,
Burundi,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005868915,0.00619943,0.009145477,0.009016304,0.009878545,0.009822521,0.01254543,0.252138932,0.506019659,0.76848468,0.920106042,1.404060802,2.073696462,2.630370361,3.444764666,5.952054518,
Cambodia,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044859243,0.09258859,0.123897368,0.197654925,0.280188316,0.500728135,0.712258215,1.023110766,1.719644626,2.87512101,3.710430275,6.312833393,7.658993898,12.2173689,18.03509142,29.096262,
Cameroon,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01168664,0.019922582,0.024279981,0.028428726,0.033040851,0.038720274,0.650967738,2.569158474,4.219232374,6.328695522,8.789662466,12.63795946,17.19468679,24.30876244,32.27561158,
Canada,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0.046257035,0.228972676,0.370485876,0.753422569,1.260739983,2.100557735,2.753939225,3.599668632,4.623046609,6.408989415,8.822579546,11.7881868,13.9893021,17.67395422,22.65973534,28.36231747,34.26109729,37.85472865,41.95921202,46.94483513,52.66340678,57.42626114,61.49138768,66.32113931,
Cape Verde,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004819358,0.241094854,1.871747699,4.494374344,7.050564815,9.445443869,11.53490183,13.99491094,17.11656802,22.46074044,30.95520391,55.6818911,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,0,2.032431646,3.445690272,4.19811085,5.787709497,7.765502658,,11.44568245,13.78666667,21.56410256,26.61691542,41.11245466,44.75643079,48.28567494,83.99184931,,,,,
Central African Rep.,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001319534,0.031324088,0.039102213,0.045525103,0.113468015,0.132604432,0.287992569,0.323913534,1.010422253,1.489342636,2.438141902,2.632885312,3.053504683,3.548989771,
Chad,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065462973,0.252637739,0.378638835,0.69400187,1.268376376,2.096102925,4.513640969,8.645041355,16.57554697,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037703346,0.105537957,0.269036154,0.471028095,0.611491893,0.816110383,1.369283318,2.183526871,2.761007677,6.41156274,14.84247466,22.06103055,32.69342467,39.57065813,45.55573593,57.42847457,64.85397478,75.6094458,83.88488071,88.05424462,
China,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,6.45736E-05,0.00029293,0.000876503,0.001613746,0.004131459,0.015188631,0.054139371,0.131561835,0.301198069,0.562851628,1.075788062,1.921437112,3.456118014,6.752491793,11.38656288,16.08911215,20.95257622,25.83369018,30.17565244,35.16788333,41.52911551,48.40732236,
Colombia,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242454831,0.753147144,1.408588593,3.347493369,4.682363385,5.028082871,5.674217159,8.076003338,11.18735017,14.8203521,24.53261364,50.75580768,68.09991084,76.51385179,91.896907,
Comoros,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.347427301,1.42496634,2.585057514,6.009882785,10.50269627,15.29403161,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035268604,,0.115773351,0.167910492,2.306039055,4.833542465,6.975588585,10.12031211,11.48299997,16.3373874,26.31898414,36.26000921,49.98406706,
Costa Rica,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093024522,0.13684582,0.205809333,0.539003284,1.304507505,1.760148801,2.90022011,3.596610527,5.383397997,8.139102414,12.25471809,18.61839068,21.68705722,25.44392082,32.84369049,33.82580714,41.74634653,
Cote d'Ivoire,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087649313,0.225940335,0.556160049,1.525909225,2.736756501,4.118857282,5.682248149,6.940179713,8.887379525,12.20813385,20.66454567,37.1106878,50.7449019,
Croatia,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005020921,0.044767184,0.141387025,0.245301724,0.465892473,0.721524952,1.445104584,2.633858268,4.054654521,6.477821695,23.33935834,39.52702703,52.08558559,57.1463964,63.87699932,82.16343989,98.99099099,113.4937331,132.6082544,
Cuba,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002178201,0.004627481,0.010607675,0.017772488,0.02215435,0.027233509,0.036779678,0.046443983,0.058952819,0.07719325,0.160258842,0.316769758,0.677978746,1.210861031,1.363390812,1.769406016,2.960676892,
Cyprus,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025211597,0.200312952,0.463711899,0.744263903,1.392967225,2.154365168,3.183640159,6.077031601,9.531985838,12.2018463,15.2223027,19.54617516,27.75515601,39.43847332,51.77288623,67.5253089,79.62370007,93.60106125,102.6919531,115.7526112,117.8918039,
Czech Rep.,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012047725,0.045076565,0.135930694,0.29439822,0.473332688,1.941977702,5.108054076,9.378196971,18.91036662,42.30392376,67.94944249,84.37335648,95.11451637,105.5457137,115.0456807,120.8105669,128.008769,132.1922567,
Denmark,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0.140679953,0.314822057,0.598591549,0.901447008,1.124858426,1.510278916,1.978148148,2.411689071,2.883657588,3.413717501,4.08245648,6.891289266,9.67339097,15.72807957,25.02075257,27.32694702,36.42899453,49.41775045,63.01920955,73.95152866,83.31856229,88.48980931,95.66270463,100.613518,107.1889911,115.5007161,124.9085075,
Djibouti,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017141432,0.030612953,0.032050955,0.039484446,0.031525808,0.401472064,1.966238376,2.959832499,4.360151939,5.472830273,5.468815779,8.335101302,13.2880382,
Dominica,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.638654531,0.771772022,0.905204228,1.118411855,1.682415949,10.84708564,17.12601472,33.40128537,58.53842817,72.22222222,98.76286975,122.2637806,136.6243062,
Dominican Rep.,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.042936574,0.074492722,0.093673764,0.132418042,0.263151593,0.68908553,0.998380038,1.683618148,2.448894428,4.884279805,7.989180764,14.15862613,18.6651677,22.61031466,26.97857769,38.00609476,47.60983713,56.17521286,72.44742664,
Ecuador,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168987551,0.476734681,0.51506349,1.07254792,2.027848805,3.155036597,3.917146224,6.889840911,12.36428082,18.77451072,27.43304834,47.81878394,64.26589093,74.50242347,85.61474663,
Egypt,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.00490881,0.005494577,0.00641499,0.00692223,0.007617022,0.008146905,0.011184195,0.01176277,0.011538155,0.011323739,0.098590291,0.13435182,0.698483136,1.937902943,3.906410416,6.1660755,7.803253348,10.09406437,17.66535727,22.90156415,37.55313417,50.6241919,
El Salvador,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029255758,0.086035629,0.235233942,0.402057109,0.688020784,2.332329281,8.646453367,12.50779395,14.36209479,14.82390383,19.10974855,30.35481384,39.80723206,63.33112617,100.5014115,113.3160252,
Equatorial Guinea,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01305919,0.062193438,0.059667789,0.116899134,0.945390465,2.754340381,5.710186616,7.200585763,10.44785692,15.91637415,22.38588794,34.25670731,52.48810295,
Eritrea,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.464410267,0.904021844,1.338731216,1.764171064,2.204865273,
