Mobile cellular subscriptions (per 100 people),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Iran,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015858329,0.026973573,0.100146388,0.392990827,0.630524061,0.77983207,1.505497939,3.212380089,3.452522078,5.14566722,7.456672192,12.31853217,21.94828403,41.91715648,59.7584743,
Iraq,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075742848,0.295439146,2.067075597,5.383355216,32.00160533,46.81938756,57.07698569,
Ireland,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0.008474576,0.042360915,0.097970116,0.178434871,0.386921214,0.713103999,0.907621182,1.239750923,1.714702663,2.464502759,4.378125996,7.933911561,14.83275726,25.4787363,44.66045273,64.67125664,76.8146491,76.30093087,87.59416373,94.87642714,102.6664423,110.0770916,118.3575549,121.044496,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.327038627,0.464740352,0.704743314,1.225698536,2.47129098,8.033471596,18.4044624,28.65733379,35.95712611,47.02040816,69.96342821,85.42663457,95.89053272,98.9336891,106.0648407,111.9320068,119.1398131,123.9815601,122.892951,
Italy,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0.011335324,0.015979928,0.029210982,0.05934945,0.116583145,0.468978649,1.000728523,1.378578163,2.124083385,3.940564328,6.901089081,11.29385116,20.63125332,36.00185904,53.2241304,74.18268403,89.93571508,94.82586682,98.55107183,107.8636466,121.9989745,136.436978,151.2430533,150.9906567,
Jamaica,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101702298,0.314810678,0.623549879,1.061218626,1.820080645,2.176958845,2.604309846,3.07511786,5.608848874,14.17137647,22.95103701,47.56363979,60.03579998,69.65437247,74.76094174,85.41361571,100.3188205,101.3442617,
Japan,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0.01128366,0.016719432,0.022805826,0.033654952,0.051178429,0.078302275,0.123492313,0.198093188,0.397639624,0.702686644,1.112085926,1.378538827,1.711446489,3.466176647,9.336918343,21.3949571,30.33832074,37.42393165,44.88400474,52.64000631,58.84368733,63.64966848,67.84869791,71.59774892,75.51204089,78.13801309,82.41088042,86.44600013,
Jordan,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045394322,0.041241185,0.039164211,0.037276648,0.035608398,0.282240763,0.557520211,1.009997172,1.792948188,2.530007478,8.107326733,17.60298932,24.20795951,25.66446553,30.70151229,57.98207521,78.36701552,84.08177974,91.42401927,
Kazakhstan,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002485213,0.029085158,0.062896819,0.07305476,0.197063291,0.331582181,1.325620146,3.917002618,6.911682561,8.925682474,16.29920735,35.63741995,50.79491903,79.58225804,95.12934158,
Kenya,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004391208,0.004491559,0.007456821,0.008289659,0.009991735,0.023282575,0.036040766,0.077553728,0.405220798,1.859346798,3.584437375,4.679934943,7.297593267,12.87656089,19.96191192,30.06092407,42.05711797,
Kiribati,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027128007,0.242315568,0.357045095,0.461648142,0.567914549,0.592415727,0.68021944,0.706491022,0.748230968,0.788908991,1.035646969,
"Korea, Dem. Rep.",0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Korea, Rep.",0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,,,0.017215423,0.024666266,0.048488386,0.093718735,0.1866267,0.383904964,0.622785883,1.070873434,2.160164668,3.639795534,6.987345415,14.96885146,30.28628341,50.2879293,57.04645592,61.33326858,67.91502247,70.18901356,76.15906243,79.65084549,83.22901215,89.76708767,93.82801654,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0.457844779,0.763481046,0.893769152,1.098632813,0.975764706,3.154805576,,,,6.526581576,7.975871172,10.60606061,12.33349778,14.23825344,21.73515982,38.58989011,52.54999692,59.25513742,81.31622223,89.80668292,97.32852329,104.1578437,106.5599883,
Kyrgyzstan,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028142589,0.052912881,0.183101744,0.544926132,1.063125851,2.744393284,5.17151462,10.53080587,24.30147724,41.42142966,64.30618238,
Laos,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006524996,0.007448062,0.0133364,0.032004811,0.0768462,0.097219964,0.124643747,0.228157697,0.234691562,0.536727649,0.98515481,1.973159061,3.531180383,11.1826772,16.87262083,24.26671757,32.58697628,
Latvia,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039019757,0.146945089,0.328257457,0.596540755,1.144118828,3.146938776,6.948547718,11.47882845,16.91703204,27.84378974,39.22994012,52.44605179,66.44404547,81.35631384,95.44342791,97.40380475,98.58373042,
Lebanon,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.437663558,5.550610777,10.31199366,13.75604566,16.85629778,19.69629532,20.00408037,19.88151183,20.05992305,21.95889496,24.34237702,26.81674477,30.27063388,34.02676072,
Lesotho,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071831516,0.195455165,0.538568365,0.645653514,1.14375278,2.977110719,7.120628935,6.433931518,9.927119935,12.5196037,17.77460494,22.44452363,28.34935975,
Liberia,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053108117,0.067624454,0.163566536,1.505807157,2.92652551,4.798720661,8.066793046,15.52125074,19.29667317,
Libya,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198749073,0.38956951,0.572645525,0.748170489,0.916332938,1.256874204,2.234023653,8.616678443,33.76763008,64.97172141,72.94540749,76.70576998,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,23.36375814,27.70850651,30.42935824,33.08569194,33.90425216,73.5121148,74.19045125,79.22283673,82.06569822,90.58317535,95.42788178,
Lithuania,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007216216,0.033722509,0.123346091,0.407351322,1.413952843,4.618351955,7.527848101,9.402435571,14.97345,29.24196032,47.43509523,60.85874335,88.81050507,127.5062824,139.0129938,145.5163766,149.5671828,
Luxembourg,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0.010893246,0.07902571,0.100887813,0.145191535,0.176112288,0.215791541,0.294315245,0.285586792,1.278570979,3.200347459,6.567880086,10.86366105,16.02288711,30.7275724,48.59515651,69.5104286,92.64798143,106.0122149,119.3454819,102.5988059,109.6401653,150.8557307,142.6062463,144.6843344,
"Macao, China",0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.376154678,0.599754939,1.267716515,2.68793561,3.796039678,5.288819615,8.713950919,10.72542967,12.49323268,19.16903223,27.19867531,31.99198,43.3644914,60.44271865,78.0910928,90.76865275,109.2559021,127.2912941,154.8158557,177.2396413,
"Macedonia, FYR",0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053602324,0.623026269,1.508654947,2.432313186,5.7539866,11.06227026,18.05146763,38.25579223,48.49944985,61.97221851,69.53514539,95.43483355,122.5633921,
Madagascar,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002357631,0.009907501,0.0169979,0.029383976,0.088864458,0.241124046,0.413044221,0.937727399,1.006868771,1.703011642,1.948992013,2.896908363,5.776650873,11.59568198,25.30089439,
Malawi,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003765761,0.035601584,0.065359251,0.094801167,0.196377199,0.414151086,0.457043751,0.68549096,1.046439601,1.67301902,3.084432027,4.416323969,7.277622432,11.99635031,
Malaysia,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,,0.067057868,0.104830853,0.159631898,0.2239229,0.478475216,0.699025902,1.050824361,1.736728841,2.847377631,4.880394011,7.196556907,9.229572936,9.902596708,13.14051842,22.0066715,31.06677544,37.33202804,45.00973026,58.04050704,76.2482357,74.58867384,87.9172473,102.5862674,
Maldives,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007893221,0.498978834,0.609881138,1.092284203,2.805530252,6.834508953,14.93773419,23.36707179,39.26807956,69.63653028,91.41414652,104.2634628,142.8158819,
Mali,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012197779,0.028664182,0.044269031,0.061977276,0.098812717,0.223049011,0.417527737,2.192263679,3.52194863,6.439583512,12.48502138,20.39589731,27.06656269,
Malta,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.627764669,0.954758205,1.431737383,2.005440156,2.854761905,3.289473684,4.619060052,5.852207792,9.675515464,29.34461538,60.92010178,69.92271751,72.75263422,76.26887615,80.29244114,85.3258302,90.09412052,93.61233159,
Marshall Islands,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.559981263,0.517647059,0.716006203,0.914542586,0.677378188,0.870181679,0.87153885,0.94268932,1.048493019,1.1159147,1.178415267,1.18297244,1.22778293,1.286103817,1.675963312,
Mauritania,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.587616275,4.125770199,8.980411401,12.40051785,17.9657255,24.97685266,34.61868155,45.0462611,65.06886533,
Mauritius,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208136235,0.234377376,0.269380204,0.368003646,0.512668464,1.045474348,1.838013538,3.702481268,5.209143923,8.689004286,15.16590233,22.70358477,28.71700121,37.81491989,44.40986034,52.83140278,61.64429479,73.65970435,81.43245795,
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.66652107,20,27.96511628,,,,,
Mexico,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001872294,0.010407949,0.076810131,0.189753525,0.36198886,0.439017638,0.635709518,0.755404027,1.103912389,1.853382997,3.516469905,8.005048388,14.37016924,21.97864597,25.92765922,29.79354892,37.67881164,45.71650069,53.15173352,63.22106587,70.80864778,
"Micronesia, Fed. Sts.",0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092834995,5.418555483,11.73586499,12.88123201,16.95430825,24.91395984,30.79319651,
Moldova,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000322674,0.021361945,0.051569482,0.165975222,0.432500593,3.390031405,5.579298571,8.539601304,12.24153328,20.60426254,28.98921589,36.61924134,51.33867526,66.69886819,
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039384758,0.086725041,0.387341415,1.464482838,6.470793325,8.059536415,8.810953647,12.83983295,17.02895154,21.85310599,30.02217666,45.74399769,66.7562971,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.64688305,86.96821582,103.5834461,113.2152652,118.1018858,
Morocco,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.000256993,0.000440283,0.002876511,0.003644024,0.00593704,0.012514507,0.025734214,0.051961282,0.109500325,0.157032813,0.268536141,0.414966825,1.296504715,8.124295477,16.36036168,21.01573338,24.68034284,30.9662488,40.63882163,51.87419714,64.14685101,72.1887338,
Mozambique,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014803263,0.038807199,0.068867645,0.279817127,0.814306557,1.322772985,2.202614313,3.485862808,7.218564086,10.9552098,14.08263762,19.68055179,
Myanmar,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00150644,0.004436706,0.006305894,0.01633137,0.018852909,0.018669867,0.024683112,0.028742871,0.048222114,0.101306987,0.139504533,0.192607479,0.26620928,0.439653903,0.504058208,0.741254281,
Namibia,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21602178,0.400063827,0.734383482,1.118305864,1.681088538,4.495621429,5.725555744,7.901099306,11.56151919,14.51346819,22.3419871,29.72513649,38.31479443,49.39305699,
Nepal,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023047965,0.041855362,0.069148409,0.085597394,0.313395813,0.437765349,0.835059234,4.168493149,11.55628534,14.57851129,
Netherlands,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,,0.033121722,0.104995883,0.165018752,0.223577236,0.377129773,0.52835741,0.763105508,1.093688233,1.413696115,2.086972397,3.486416559,6.547657408,11.0014737,21.34666837,42.67927871,67.53349382,76.03097774,74.92774578,81.35459318,90.8994165,97.02295058,105.8111656,117.7228536,125.4256992,
Netherlands Antilles,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,2.970492758,4.425392554,6.135464854,7.400485,7.774590494,8.695746693,16.49139974,,,,109.7110759,108.5864756,,,,,
New Caledonia,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42746114,1.045685279,2.577839228,6.36097561,12.1645779,23.42447123,31.25149546,36.11901215,43.02079872,50.61242763,57.28200074,65.00069194,72.75165017,79.63924525,
New Zealand,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.072617247,0.298507463,0.850500294,1.569025522,2.06861034,2.837160574,4.025530485,6.607552278,9.936298797,13.20471597,14.97329032,20.70773263,36.37454043,39.97096791,58.96147404,62.02355325,64.53615415,74.05504587,85.3915189,90.86388185,100.5417544,108.2246012,
Nicaragua,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007280313,0.047903125,0.094431787,0.107218947,0.155899915,0.370849488,0.880867671,1.770153349,3.177873935,4.520179605,8.775998114,13.71278861,20.51942581,33.12784472,44.72310534,54.84072292,
Niger,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000984295,0.013092058,0.020558054,0.018638305,0.018635352,0.487765347,0.67495388,1.364523512,2.471795197,3.550460273,6.365064453,12.90524321,
Nigeria,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008611547,0.01188059,0.011770103,0.012366173,0.012928051,0.016820974,0.020519361,0.024030303,0.208306166,1.19719253,2.345627736,6.650406901,13.19363147,22.40347205,27.34572706,41.65567957,
Northern Mariana Islands,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1.398280802,1.388359558,2.079398361,,,,4.349909408,4.347700067,18.51514174,23.27574498,24.51739485,26.19699568,,,,,
Norway,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0.040731707,0.268748481,0.567940963,0.943236715,1.518781604,2.088294555,2.866706472,3.615894512,3.966193518,4.640528115,5.500692212,6.600363942,8.613242115,13.57003182,22.50699541,28.79354029,38.0727731,46.75090253,59.7309417,71.78802049,79.61444715,83.51696783,88.95767706,98.53656943,102.8367833,104.467999,106.975713,110.1228301,
Oman,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0.00340455,0.046911178,0.07003292,0.099687711,0.117956353,0.148128213,0.192244867,0.238571944,0.274320415,0.319611334,0.370747079,0.674038249,2.330901866,4.227354,5.125971816,6.743863085,13.21957135,18.63865367,23.51775769,31.37321432,50.92857337,68.08938393,91.69933914,115.5810324,
Pakistan,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00185228,0.007674942,0.011887783,0.013740491,0.020654622,0.03347417,0.054252516,0.105114298,0.149029503,0.197057645,0.2219677,0.524994835,1.172193069,1.619792519,3.303213389,8.198651234,21.68247211,38.72341617,52.98835471,
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.30476572,19.91878173,19.80218006,30.35821794,41.63259836,53.02541625,60.20098057,
Panama,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256664947,0.843601633,3.025730494,8.045738355,13.9081219,15.80085918,17.16604887,22.19639148,39.6762661,54.11334982,66.14148727,90.0486968,115.1941716,
Papua New Guinea,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047231471,0.077593831,0.108824965,0.134547225,0.158882978,0.193478159,0.264331387,0.300651021,0.809430822,1.22585034,1.594988419,4.671024421,9.122947223,
Paraguay,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033550142,0.073995236,0.163267777,0.32918782,0.669016845,1.677668566,4.512439419,8.312706345,15.34156911,21.06021518,29.92246629,31.15721754,30.19240267,31.96054304,53.74293893,76.62207509,95.45569751,
Peru,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007577127,0.0256549,0.095122754,0.157227992,0.221969495,0.307155141,0.824764234,1.701722959,2.946755037,3.956986322,4.898665837,6.795437175,8.619266925,10.8008302,14.88883031,20.05809255,31.1334455,54.07951058,72.6568366,
Philippines,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054124892,0.085659029,0.152992551,0.251161176,0.705869594,1.341339602,1.839589952,2.324328079,3.743171062,8.307905037,15.34489812,19.04097204,27.33601634,39.25079466,40.67912806,49.218538,64.6370482,75.39385324,
Poland,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005721405,0.040820094,0.101033635,0.194362956,0.561655187,2.101423027,4.98638279,10.23462155,17.54574982,26.1572922,36.35453484,45.54748817,60.48905168,76.42093045,96.34041785,108.5733683,115.2143987,
Portugal,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027996377,0.065683104,0.126824358,0.374003814,1.015640666,1.735427085,3.399271966,6.600208851,14.93664387,30.35475368,45.91564773,65.1777733,77.50497047,83.62005371,95.80175263,100.65831,108.5109935,115.5143767,126.7958732,140.3597751,
Puerto Rico,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,,0.113805089,0.250439161,0.330894451,0.575883517,0.93792724,1.673558007,2.627577896,4.795523009,7.792342489,8.833032858,9.762118193,15.33944743,21.41533299,24.28808836,29.41126196,46.65300943,47.97973089,68.87641306,85.75910024,,,,
Qatar,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0.815312733,0.842099582,0.856858308,0.849614811,2.239065312,3.512979899,5.352661355,7.886416448,11.57315414,14.3094602,19.59349369,27.44674287,38.96198948,51.47352333,61.51940058,80.95001463,91.92150365,111.1481399,131.3943266,
Romania,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003515711,0.012207998,0.039980601,0.075194621,0.891194467,2.857396792,6.035712718,11.13487502,17.37355865,23.43971376,32.37921466,47.10833608,61.7265506,74.07470544,94.75620894,113.7279441,
Russia,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000201852,0.004035268,0.0067331,0.018703484,0.059757933,0.150943217,0.329171645,0.50862157,0.936804981,2.230439567,5.310394852,12.11892191,24.98981622,51.24952535,83.82815229,105.7361404,120.477658,140.5581796,
Rwanda,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07352233,0.147788261,0.490085384,0.782185332,0.964913031,1.505044582,1.556415601,2.479698937,3.411521198,6.717803331,13.60640506,
Samoa,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.445740156,0.852328354,1.38773973,1.415981332,1.408252359,1.515262056,5.879223942,8.946994649,13.41036845,25.4184264,48.05865391,69.32447769,
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.99979631,57.48089556,57.61330506,57.22694572,77.34201283,
Sao Tome and Principe,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36451973,3.264661848,5.159274704,7.831767373,11.87679693,19.09386756,30.59173149,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.091340945,0.092355164,0.093389413,0.091550122,0.089559482,0.087611299,1.018058798,1.728559624,3.184669078,4.142132884,6.664759426,11.98402151,23.22142319,32.8376099,40.72806032,61.26643746,83.19661146,117.1793063,145.1203289,
Senegal,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001162965,0.001408791,0.015868365,0.075938375,0.292723281,0.911278727,2.527331683,2.969198687,5.304964351,7.307609759,10.20354791,15.33605713,25.75030888,30.52805626,44.13277471,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.37303369,74.06075904,89.63988597,114.5099443,130.8636434,
Seychelles,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066397535,1.364879543,2.906142087,6.582451868,20.29100858,31.99886603,45.17499569,53.44205496,59.45531401,65.90181818,70.93606755,83.14420804,90.88108006,107.498045,
Sierra Leone,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.282391139,0.615758895,1.475666263,2.392253101,,,,14.31628662,18.14436461,
Singapore,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,,,,,0.380428672,0.897134084,1.697669839,2.612548244,3.714365308,5.402142749,6.891781223,8.682082565,11.74190209,22.35511064,27.87482176,41.19534191,68.20924055,72.29579507,79.33429119,86.93010596,95.77603379,102.7849407,108.7972009,129.1047378,131.7415382,
Slovak Republic,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002252508,0.028964478,0.058689855,0.111196305,0.229599998,0.533291848,3.71784019,8.632788174,12.3087645,23.08027131,39.92137798,54.3470655,68.38314784,79.42785177,84.2839057,90.75979953,112.427376,102.0977408,
Slovenia,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026127791,0.175298007,0.330486069,0.821157424,1.371909548,2.069563034,4.713649245,8.151215576,31.80110803,61.11618904,73.79944779,83.61253761,87.14466638,92.57071024,87.9396151,90.66724867,95.55477816,101.6614423,
Solomon Islands,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040941775,0.063561547,0.090546368,0.171923664,0.178410772,0.270266929,0.276986312,0.226544874,0.227917238,0.23557859,0.649672673,1.266461359,1.44055449,2.187700706,5.874612276,
Somalia,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.081929665,1.119721698,1.284602371,2.507986684,6.124736881,5.985154662,6.437436196,6.870830336,7.024166494,
South Africa,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011539393,0.016136364,0.019758937,0.034095798,0.106741253,0.8881175,1.367586912,2.382485291,4.486138816,7.964260774,12.08662357,18.95227273,24.01928954,30.09226743,36.55958755,44.65681402,71.95140164,83.09493803,87.65516467,92.22630236,
Spain,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,,,,0.004413406,0.010878293,0.030053501,0.076823669,0.140848697,0.278514756,0.461495735,0.656455572,1.048302644,2.399154543,7.593174959,10.95864829,16.20661059,37.57855546,60.26609907,72.82760382,81.16143821,88.60917283,90.46870758,98.37773269,103.5783009,107.8957449,109.0477955,
Sri Lanka,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005901762,0.010389962,0.015082986,0.082854089,0.162930138,0.283822489,0.389535641,0.625297306,0.941710264,1.37902372,2.298859911,3.551960419,4.922588658,7.267527252,11.36141198,17.09261237,27.21762044,39.89749625,54.98284208,
Saint Kitts and Nevis,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.734034744,0.503190967,1.096436581,1.656412683,2.709659938,4.554227842,10.70434596,47.09912224,61.72207385,106.25,132.2505321,151.6709158,162.6348868,
Saint Lucia,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.367232232,0.68758294,0.951979437,1.069047078,1.250394862,1.496392393,1.602605195,1.70997549,8.994363206,61.63615988,62.17910043,64.11515192,86.91065585,92.0766553,99.64480382,
Saint Vincent and the Grenadines,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.064861058,0.076835489,0.138810487,0.198967221,0.259213657,0.320524697,0.695249131,1.316814422,2.189009522,6.940057247,9.232676015,58.0783043,66.34049258,64.95823982,80.49268866,101.3632402,119.2279846,
Sudan,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006951158,0.01170228,0.025827257,0.03810985,0.065895083,0.291153496,0.524016656,1.419500257,2.766660881,4.723545674,11.84250677,20.3255635,29.00152204,
